molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL191003,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,inactive,394.36300000000006,1.217999999999999,3.0,8.0,5.0
CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,inactive,581.0690000000002,6.139100000000005,2.0,8.0,5.0
CHEMBL91829,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,inactive,468.55700000000024,3.513700000000002,1.0,6.0,5.0
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,inactive,562.7150000000001,5.034500000000005,1.0,8.0,5.0
CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,inactive,476.8700000000002,5.868000000000003,2.0,5.0,5.0
CHEMBL573339,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,inactive,348.36199999999997,2.980200000000001,1.0,7.0,5.0
CHEMBL608533,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,inactive,570.6490000000002,5.906800000000007,1.0,6.0,5.0
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,inactive,346.8210000000001,5.012600000000003,1.0,4.0,5.0
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,inactive,354.4580000000001,3.2021000000000015,3.0,7.0,5.0
CHEMBL278041,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,inactive,331.35,4.650400000000003,2.0,3.0,5.0
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,inactive,377.444,4.6822000000000035,1.0,3.0,5.0
CHEMBL440084,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,inactive,384.39500000000015,3.633300000000001,2.0,5.0,5.0
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,inactive,464.83100000000013,5.549700000000003,3.0,4.0,5.0
CHEMBL572878,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,inactive,464.59900000000016,3.5032200000000016,3.0,8.0,5.0
CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,inactive,436.2700000000001,5.492700000000003,0.0,5.0,5.0
CHEMBL24828,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,inactive,475.36200000000036,5.004200000000005,1.0,6.0,5.0
CHEMBL577784,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,active,591.4790000000003,4.746000000000003,4.0,7.0,6.954677021213342
CHEMBL379300,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,active,397.482,4.363420000000002,3.0,4.0,7.0655015487564325
CHEMBL574737,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,active,482.54000000000025,3.844900000000002,3.0,7.0,7.00436480540245
CHEMBL573107,CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C,active,391.42200000000014,3.421400000000001,2.0,6.0,6.966576244513051
CHEMBL577784,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,active,591.4790000000003,4.746000000000003,4.0,7.0,7.00436480540245
CHEMBL379300,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,active,397.482,4.363420000000002,3.0,4.0,7.075720713938118
CHEMBL23327,CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,active,388.90300000000013,4.233000000000002,3.0,7.0,6.978810700930062
CHEMBL6291,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,active,457.55900000000014,3.7169700000000017,3.0,6.0,6.995678626217358
CHEMBL302449,Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O,active,378.4350000000002,4.596480000000004,1.0,4.0,7.008773924307505
CHEMBL91829,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,active,468.55700000000024,3.513700000000002,1.0,6.0,6.982966660701219
CHEMBL105442,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,active,478.664,5.0378000000000025,2.0,3.0,7.031517051446065
CHEMBL507361,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,active,482.196,2.4667000000000003,4.0,5.0,6.920818753952375
CHEMBL259850,COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,active,308.319,2.3815999999999997,2.0,6.0,7.017728766960431
CHEMBL573108,CC(C)(C(N)=O)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br,active,547.4580000000003,3.0401000000000007,5.0,7.0,7.075720713938118
CHEMBL410456,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,active,398.422,3.6758000000000006,2.0,5.0,7.0
CHEMBL249697,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,active,255.32500000000002,1.86994,2.0,5.0,7.008773924307505
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,active,307.34900000000005,3.2966000000000024,0.0,4.0,7.0655015487564325
CHEMBL191384,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,active,372.4570000000001,3.936180000000003,2.0,7.0,7.154901959985743
CHEMBL34241,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)/C=C/c4ccccc4)c2O)OC(C)(C)C=C3)c1O,active,516.5460000000002,5.396720000000009,5.0,8.0,6.958607314841775
CHEMBL1233654,C[C@H]1CNCCN1S(=O)(=O)c1cccc2cnccc12,active,291.37600000000003,1.2171999999999998,1.0,4.0,7.031517051446065
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,active,359.725,2.4334,3.0,6.0,7.0655015487564325
CHEMBL148333,CNCCNS(=O)(=O)c1cccc2cnccc12,active,265.338,0.7324999999999997,2.0,4.0,7.026872146400302
CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,active,291.37600000000003,1.2187999999999999,1.0,4.0,6.954677021213342
CHEMBL559147,C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1,active,247.34199999999998,2.1737,2.0,3.0,6.987162775294828
CHEMBL193093,NC(=O)c1sc(-c2ccsc2)cc1N,active,224.31,2.1576999999999997,2.0,4.0,6.943095148663527
CHEMBL264406,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,active,317.3960000000001,3.9837000000000025,1.0,5.0,6.97469413473523
CHEMBL573578,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,active,331.4230000000001,3.9075000000000024,1.0,5.0,6.962573502059376
CHEMBL186526,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1,active,389.4550000000001,4.271220000000004,3.0,4.0,7.013228265733755
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,active,464.83100000000013,5.549700000000003,3.0,4.0,7.017728766960431
CHEMBL240954,CC(=O)O[C@H]1[C@H](C)O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H]1OC(C)=O,active,516.4550000000003,1.9246999999999999,4.0,12.0,6.978810700930062
CHEMBL79004,O=C(Nc1cc(Cl)cc2c1[nH]c1cnccc12)c1cccnc1,active,322.75500000000005,4.016800000000002,2.0,3.0,6.987162775294828
CHEMBL540501,O=C(NOC[C@@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl.O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,active,997.3019999999999,5.962000000000005,8.0,10.0,7.00436480540245
CHEMBL34704,N#CC(=C(/N)Sc1ccccc1N)/C(C#N)=C(\N)Sc1ccccc1N,active,380.5020000000001,3.1231600000000004,4.0,8.0,7.013228265733755
CHEMBL258844,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,active,551.654,6.320200000000006,2.0,6.0,7.070581074285707
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,active,527.6690000000006,5.986420000000005,2.0,6.0,6.982966660701219
CHEMBL412142,Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1,active,465.3480000000001,4.939600000000002,3.0,7.0,7.070581074285707
CHEMBL573339,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,active,348.36199999999997,2.980200000000001,1.0,7.0,6.97469413473523
CHEMBL573108,CC(C)(C(N)=O)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br,active,547.4580000000003,3.0401000000000007,5.0,7.0,6.935542010773082
CHEMBL572878,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,active,464.59900000000016,3.5032200000000016,3.0,8.0,6.991399828238082
CHEMBL274654,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,active,310.35300000000007,3.141440000000001,3.0,2.0,7.00436480540245
CHEMBL1240885,Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,active,244.233,1.8177999999999999,3.0,5.0,6.987162775294828
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,active,377.444,4.6822000000000035,1.0,3.0,7.017728766960431
CHEMBL278041,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,active,331.35,4.650400000000003,2.0,3.0,6.97061622231479
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,active,428.4370000000003,2.5364000000000004,0.0,8.0,7.0
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,active,354.4580000000001,3.2021000000000015,3.0,7.0,7.060480747381382
CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,active,293.282,3.2377000000000002,2.0,3.0,7.036212172654444
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,active,327.181,4.092000000000002,2.0,1.0,7.013228265733755
CHEMBL265470,CC(=O)O.O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,active,374.3520000000001,3.381000000000001,2.0,5.0,6.962573502059376
CHEMBL1725279,Oc1c2ccccc2c2c3c(cccc13)N=N2,active,220.231,4.427400000000002,1.0,3.0,6.950781977329818
CHEMBL191384,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,active,372.4570000000001,3.936180000000003,2.0,7.0,7.070581074285707
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,active,212.25199999999998,3.033120000000001,1.0,2.0,6.966576244513051
CHEMBL129177,CC1=NCCc2c1[nH]c1cc(O)ccc21,active,200.241,2.2386,2.0,2.0,6.962573502059376
CHEMBL12014,Cc1nccc2c1[nH]c1ccccc12,active,182.226,3.0245200000000008,1.0,1.0,6.978810700930062
